UID,GID,JobIDRaw,Group,Account,JobName,TimelimitRaw,Submit,Start,End,State,ExitCode,ReservationId,Reservation,Priority,Eligible,Constraints,SystemCPU,CPUTimeRAW,ElapsedRaw,Layout,NTasks,QOSREQ,QOS,Restarts,WorkDir,ConsumedEnergyRaw,FailedNode,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Partition,Reason,Suspended,AllocNodes,AveRSS,MaxRSS,DerivedExitCode,AveVMSize,MaxVMSize,ReqMem,ReqNodes,NNodes,Planned,PlannedCPURAW,NCPUS,UserCPU,ReqCPUS,TotalCPU,TRESUsageInTot,TRESUsageOutTot,ReqTRES,AllocTRES,TRESUsageInMax,TRESUsageOutMax,Flags,Comment,SystemComment,AdminComment
1017,1017,4635,test_user18,testing,test_user18-Hc4Q,2,2025-07-31T10:14:07,2025-07-31T10:25:49,2025-07-31T10:27:50,TIMEOUT,0:0,1,system_testing,86400,2025-07-31T10:14:07,,00:00:00,15488,121,,,,normal,0,/home/test_user18/stochsimsched,,,,,,,batch-cpu,None,00:00:00,1,,,0:15,,,1M,1,1,00:11:42,44928,128,00:00:00,64,00:00:00,,,billing=64;cpu=64;mem=1M;node=1,billing=128;cpu=128;node=1,,,SchedBackfill;StartReceived,,,
1003,1003,4636,test_user4,testing,test_user4-W3r7,2,2025-07-31T10:14:16,2025-07-31T10:14:20,2025-07-31T10:16:20,TIMEOUT,0:0,1,system_testing,172800,2025-07-31T10:14:16,,00:00:00,153600,120,,,high,high,0,/home/test_user4/stochsimsched,,,,,,,batch-cpu,None,00:00:00,10,,,0:15,,,10M,10,10,00:00:04,2560,1280,00:00:00,640,00:00:00,,,billing=640;cpu=640;mem=10M;node=10,billing=1280;cpu=1280;node=10,,,SchedMain;StartReceived,,,
1006,1006,4637,test_user7,testing,test_user7-tjDD,3,2025-07-31T10:14:29,2025-07-31T13:29:55,2025-07-31T13:32:55,COMPLETED,0:0,1,system_testing,86400,2025-07-31T10:14:29,,00:00:00,161280,180,,,,normal,0,/home/test_user7/stochsimsched,,,,,,,batch-cpu,None,00:00:00,7,,,0:0,,,7M,7,7,03:15:26,5253248,896,00:00:00,448,00:00:00,,,billing=448;cpu=448;mem=7M;node=7,billing=896;cpu=896;node=7,,,SchedMain;StartReceived,,,
1011,1011,4638,test_user12,testing,test_user12-p5uO,8,2025-07-31T10:14:31,2025-07-31T13:32:55,2025-07-31T13:41:22,TIMEOUT,0:0,1,system_testing,86400,2025-07-31T10:14:31,,00:00:00,389376,507,,,,normal,0,/home/test_user12/stochsimsched,,,,,,,batch-cpu,None,00:00:00,6,,,0:15,,,6M,6,6,03:18:24,4571136,768,00:00:00,384,00:00:00,,,billing=384;cpu=384;mem=6M;node=6,billing=768;cpu=768;node=6,,,SchedMain;StartReceived,,,
1002,1002,4639,test_user3,testing,test_user3-5itl,3,2025-07-31T10:14:33,2025-07-31T12:42:56,2025-07-31T12:45:03,COMPLETED,0:0,1,system_testing,86400,2025-07-31T10:14:34,,00:00:00,48768,127,,,,normal,0,/home/test_user3/stochsimsched,,,,,,,batch-cpu,None,00:00:00,3,,,0:0,,,3M,3,3,02:28:22,1709184,384,00:00:00,192,00:00:00,,,billing=192;cpu=192;mem=3M;node=3,billing=384;cpu=384;node=3,,,SchedBackfill;StartReceived,,,
1013,1013,4640,test_user14,testing,test_user14-mjzW,1,2025-07-31T10:14:44,2025-07-31T13:37:27,2025-07-31T13:38:52,TIMEOUT,0:0,1,system_testing,86400,2025-07-31T10:14:44,,00:00:00,108800,85,,,,normal,0,/home/test_user14/stochsimsched,,,,,,,batch-cpu,None,00:00:00,10,,,0:15,,,10M,10,10,03:22:43,7784320,1280,00:00:00,640,00:00:00,,,billing=640;cpu=640;mem=10M;node=10,billing=1280;cpu=1280;node=10,,,SchedMain;StartReceived,,,
1019,1019,4641,test_user20,testing,test_user20-hApk,4,2025-07-31T10:14:56,2025-07-31T13:38:56,2025-07-31T13:43:01,TIMEOUT,0:0,1,system_testing,86400,2025-07-31T10:14:56,,00:00:00,219520,245,,,,normal,0,/home/test_user20/stochsimsched,,,,,,,batch-cpu,None,00:00:00,7,,,0:0,,,7M,7,7,03:24:00,5483520,896,00:00:00,448,00:00:00,,,billing=448;cpu=448;mem=7M;node=7,billing=896;cpu=896;node=7,,,SchedMain;StartReceived,,,
1009,1009,4642,test_user10,testing,test_user10-AVfY,6,2025-07-31T10:15:13,2025-07-31T13:37:27,2025-07-31T13:41:01,COMPLETED,0:0,1,system_testing,86400,2025-07-31T10:15:13,,00:00:00,109568,214,,,,normal,0,/home/test_user10/stochsimsched,,,,,,,batch-cpu,None,00:00:00,4,,,0:0,,,4M,4,4,03:22:14,3106304,512,00:00:00,256,00:00:00,,,billing=256;cpu=256;mem=4M;node=4,billing=512;cpu=512;node=4,,,SchedBackfill;StartReceived,,,
1005,1005,4643,test_user6,testing,test_user6-IDcY,7,2025-07-31T10:15:16,2025-07-31T13:41:25,2025-07-31T13:47:17,COMPLETED,0:0,1,system_testing,86400,2025-07-31T10:15:16,,00:00:00,360448,352,,,,normal,0,/home/test_user6/stochsimsched,,,,,,,batch-cpu,None,00:00:00,8,,,0:0,,,8M,8,8,03:26:09,6332928,1024,00:00:00,512,00:00:00,,,billing=512;cpu=512;mem=8M;node=8,billing=1024;cpu=1024;node=8,,,SchedMain;StartReceived,,,
1007,1007,4644,test_user8,testing,test_user8-Ghll,7,2025-07-31T10:15:25,2025-07-31T10:15:29,2025-07-31T10:22:50,TIMEOUT,0:0,1,system_testing,172800,2025-07-31T10:15:25,,00:00:00,451584,441,,,high,high,0,/home/test_user8/stochsimsched,,,,,,,batch-cpu,None,00:00:00,8,,,0:15,,,8M,8,8,00:00:04,2048,1024,00:00:00,512,00:00:00,,,billing=512;cpu=512;mem=8M;node=8,billing=1024;cpu=1024;node=8,,,SchedMain;StartReceived,,,
