Job ID,User ID,Queue Time,Start Time,End Time,Total Nodes Requested,Total CPU Cores Requested,Total Memory Requested (MB),Expected Duration (Sim Units),Assigned Node 1 ID,Assigned Node 1 Cores,Assigned Node 1 Mem (MB),Assigned Node 2 ID,Assigned Node 2 Cores,Assigned Node 2 Mem (MB),Additional Assigned Details
145,5,2002-07-28 01:06:29,2002-07-28 01:06:29,2002-07-28 01:06:38,4,8,NA,9,2,2,568584,4,2,568584,5;2;568584#13;2;568584
148,8,2002-07-28 01:06:32,2002-07-28 01:06:32,2002-07-28 01:06:38,1,2,NA,6,6,2,512140,,,,
153,5,2002-07-28 01:06:37,2002-07-28 01:06:37,2002-07-28 01:06:38,1,2,NA,1,6,2,209203,,,,
150,9,2002-07-28 01:06:34,2002-07-28 01:06:34,2002-07-28 01:06:39,4,8,NA,5,7,2,879778,8,2,879778,16;2;879778#17;2;879778
152,10,2002-07-28 01:06:36,2002-07-28 01:06:36,2002-07-28 01:06:39,4,8,NA,3,2,2,400066,4,2,400066,5;2;400066#13;2;400066
151,4,2002-07-28 01:06:35,2002-07-28 01:06:35,2002-07-28 01:06:41,2,4,NA,6,9,2,829325,10,2,829325,
149,4,2002-07-28 01:06:33,2002-07-28 01:06:33,2002-07-28 01:06:42,2,4,NA,9,9,2,216117,10,2,216117,
157,4,2002-07-28 01:06:41,2002-07-28 01:06:41,2002-07-28 01:06:43,1,2,NA,2,9,2,756159,,,,
155,9,2002-07-28 01:06:39,2002-07-28 01:06:39,2002-07-28 01:06:44,2,4,NA,5,2,2,991311,3,2,991311,
154,6,2002-07-28 01:06:38,2002-07-28 01:06:38,2002-07-28 01:06:46,1,2,NA,8,1,2,873392,,,,
159,8,2002-07-28 01:06:43,2002-07-28 01:06:43,2002-07-28 01:06:46,1,2,NA,3,7,2,996452,,,,
164,10,2002-07-28 01:06:48,2002-07-28 01:06:48,2002-07-28 01:06:49,1,2,NA,1,9,2,496392,,,,
156,3,2002-07-28 01:06:40,2002-07-28 01:06:40,2002-07-28 01:06:50,4,8,NA,10,4,2,299569,4,2,299569,5;2;299569#5;2;299569
158,10,2002-07-28 01:06:42,2002-07-28 01:06:42,2002-07-28 01:06:51,1,2,NA,9,6,2,946630,,,,
163,4,2002-07-28 01:06:47,2002-07-28 01:06:47,2002-07-28 01:06:51,4,8,NA,4,1,2,382868,7,2,382868,7;2;382868#9;2;382868
160,3,2002-07-28 01:06:44,2002-07-28 01:06:44,2002-07-28 01:06:52,1,2,NA,8,2,2,509992,,,,
162,7,2002-07-28 01:06:46,2002-07-28 01:06:46,2002-07-28 01:06:54,2,4,NA,8,2,2,153926,1,2,153926,
