UID|GID|JobIDRaw|Group|Account|JobName|TimelimitRaw|Submit|Start|End|State|ExitCode|ReservationId|Reservation|Priority|Eligible|Constraints|SystemCPU|CPUTimeRAW|ElapsedRaw|Layout|NTasks|QOSREQ|QOS|Restarts|WorkDir|ConsumedEnergyRaw|FailedNode|AveDiskRead|AveDiskWrite|MaxDiskRead|MaxDiskWrite|Partition|Reason|Suspended|AllocNodes|AveRSS|MaxRSS|DerivedExitCode|AveVMSize|MaxVMSize|ReqMem|ReqNodes|NNodes|Planned|PlannedCPURAW|NCPUS|UserCPU|ReqCPUS|TotalCPU|TRESUsageInTot|TRESUsageOutTot|ReqTRES|AllocTRES|TRESUsageInMax|TRESUsageOutMax|Flags|Comment|SystemComment|AdminComment
||463.extern||testing|extern||2025-07-29T18:48:59|2025-07-29T18:48:59|2025-07-29T19:23:49|COMPLETED|0:0||||2025-07-29T18:48:59||00:00:00|2140160|2090|Unknown|8|||||0||||||||00:00:00|8|||||||8|8|||1024|00:00:00|1024|00:00:00||||billing=1024,cpu=1024,node=8||||||
||463.0||testing|mpicatnap||2025-07-29T18:48:59|2025-07-29T18:48:59|2025-07-29T19:23:49|COMPLETED|0:0||||2025-07-29T18:48:59||00:00:00|1070080|2090|Block|512|||||0||||||||00:00:00|8|||||||8|8|||512|00:00:00|512|00:00:00||||cpu=512,mem=0,node=8||||||
1001|1001|464|test_user2|testing|test_user2-MhjD|45|2025-07-29T17:08:04|2025-07-29T17:34:39|2025-07-29T18:10:05|COMPLETED|0:0|1|system_testing|86400|2025-07-29T17:08:04||00:00:00|544256|2126||||normal|0|/home/test_user2/stochsimsched|||||||batch-cpu|None|00:00:00|2|||0:0|||2M|2|2|00:26:35|204160|256|00:00:00|128|00:00:00|||billing=128,cpu=128,mem=2M,node=2|billing=256,cpu=256,node=2|||SchedBackfill,StartReceived|||
||464.batch||testing|batch||2025-07-29T17:34:39|2025-07-29T17:34:39|2025-07-29T18:10:05|COMPLETED|0:0||||2025-07-29T17:34:39||00:00:00|136064|2126|Unknown|1|||||0||||||||00:00:00|1|||||||1|1|||64|00:00:00|64|00:00:00||||cpu=64,mem=0,node=1||||||
||464.extern||testing|extern||2025-07-29T17:34:39|2025-07-29T17:34:39|2025-07-29T18:10:05|COMPLETED|0:0||||2025-07-29T17:34:39||00:00:00|544256|2126|Unknown|2|||||0||||||||00:00:00|2|||||||2|2|||256|00:00:00|256|00:00:00||||billing=256,cpu=256,node=2||||||
||464.0||testing|mpicatnap||2025-07-29T17:34:40|2025-07-29T17:34:40|2025-07-29T18:10:05|COMPLETED|0:0||||2025-07-29T17:34:40||00:00:00|272000|2125|Block|128|||||0||||||||00:00:00|2|||||||2|2|||128|00:00:00|128|00:00:00||||cpu=128,mem=0,node=2||||||
1008|1008|465|test_user9|testing|test_user9-X3Ld|48|2025-07-29T17:08:04|2025-07-29T19:23:49|2025-07-29T19:34:34|COMPLETED|0:0|1|system_testing|86400|2025-07-29T17:08:04||00:00:00|660480|645||||normal|0|/home/test_user9/stochsimsched|||||||batch-cpu|None|00:00:00|8|||0:0|||8M|8|8|02:15:45|4170240|1024|00:00:00|512|00:00:00|||billing=512,cpu=512,mem=8M,node=8|billing=1024,cpu=1024,node=8|||SchedMain,StartReceived|||
||465.batch||testing|batch||2025-07-29T19:23:49|2025-07-29T19:23:49|2025-07-29T19:34:34|COMPLETED|0:0||||2025-07-29T19:23:49||00:00:00|41280|645|Unknown|1|||||0||||||||00:00:00|1|||||||1|1|||64|00:00:00|64|00:00:00||||cpu=64,mem=0,node=1||||||
||465.extern||testing|extern||2025-07-29T19:23:49|2025-07-29T19:23:49|2025-07-29T19:34:34|COMPLETED|0:0||||2025-07-29T19:23:49||00:00:00|660480|645|Unknown|8|||||0||||||||00:00:00|8|||||||8|8|||1024|00:00:00|1024|00:00:00||||billing=1024,cpu=1024,node=8||||||
||465.0||testing|mpicatnap||2025-07-29T19:23:50|2025-07-29T19:23:50|2025-07-29T19:34:34|COMPLETED|0:0||||2025-07-29T19:23:50||00:00:00|329728|644|Block|512|||||0||||||||00:00:00|8|||||||8|8|||512|00:00:00|512|00:00:00||||cpu=512,mem=0,node=8||||||
1010|1010|466|test_user11|testing|test_user11-iiDw|118|2025-07-29T17:08:04|2025-07-29T17:34:09|2025-07-29T18:50:10|COMPLETED|0:0|1|system_testing|86400|2025-07-29T17:08:04||00:00:00|583808|4561||||normal|0|/home/test_user11/stochsimsched|||||||batch-cpu|None|00:00:00|1|||0:0|||1M|1|1|00:26:05|100160|128|00:00:00|64|00:00:00|||billing=64,cpu=64,mem=1M,node=1|billing=128,cpu=128,node=1|||SchedBackfill,StartReceived|||
||466.batch||testing|batch||2025-07-29T17:34:09|2025-07-29T17:34:09|2025-07-29T18:50:10|COMPLETED|0:0||||2025-07-29T17:34:09||00:00:00|291904|4561|Unknown|1|||||0||||||||00:00:00|1|||||||1|1|||64|00:00:00|64|00:00:00||||cpu=64,mem=0,node=1||||||
||466.extern||testing|extern||2025-07-29T17:34:09|2025-07-29T17:34:09|2025-07-29T18:50:10|COMPLETED|0:0||||2025-07-29T17:34:09||00:00:00|583808|4561|Unknown|1|||||0||||||||00:00:00|1|||||||1|1|||128|00:00:00|128|00:00:00||||billing=128,cpu=128,node=1||||||
