UID,GID,JobIDRaw,Group,Account,JobName,TimelimitRaw,Submit,Start,End,State,ExitCode,ReservationId,Reservation,Priority,Eligible,Constraints,SystemCPU,CPUTimeRAW,ElapsedRaw,Layout,NTasks,QOSREQ,QOS,Restarts,WorkDir,ConsumedEnergyRaw,FailedNode,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Partition,Reason,Suspended,AllocNodes,AveRSS,MaxRSS,DerivedExitCode,AveVMSize,MaxVMSize,ReqMem,ReqNodes,NNodes,Planned,PlannedCPURAW,NCPUS,UserCPU,ReqCPUS,TotalCPU,TRESUsageInTot,TRESUsageOutTot,ReqTRES,AllocTRES,TRESUsageInMax,TRESUsageOutMax,Flags,Comment,SystemComment,AdminComment
1008,1008,5700,test_user9,testing,test_user9-YMmO,10,2025-08-01T19:04:51,2025-08-01T20:23:41,2025-08-01T20:31:45,COMPLETED,0:0,1,system_testing,86400,2025-08-01T19:04:51,,00:00:00,247808,484,,,,normal,0,/home/test_user9/stochsimsched,,,,,,,batch-cpu,None,00:00:00,4,,,0:0,,,4M,4,4,01:18:50,1210880,512,00:00:00,256,00:00:00,,,billing=256;cpu=256;mem=4M;node=4,billing=512;cpu=512;node=4,,,SchedMain;StartReceived,,,
,,5700.batch,,testing,batch,,2025-08-01T20:23:41,2025-08-01T20:23:41,2025-08-01T20:31:45,COMPLETED,0:0,,,,2025-08-01T20:23:41,,00:00:00,30976,484,Unknown,1,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,64,00:00:00,64,00:00:00,,,,cpu=64;mem=0;node=1,,,,,,
,,5700.extern,,testing,extern,,2025-08-01T20:23:41,2025-08-01T20:23:41,2025-08-01T20:31:45,COMPLETED,0:0,,,,2025-08-01T20:23:41,,00:00:00,247808,484,Unknown,4,,,,,0,,,,,,,,00:00:00,4,,,,,,,4,4,,,512,00:00:00,512,00:00:00,,,,billing=512;cpu=512;node=4,,,,,,
,,5700.0,,testing,mpicatnap,,2025-08-01T20:23:42,2025-08-01T20:23:42,2025-08-01T20:31:45,COMPLETED,0:0,,,,2025-08-01T20:23:42,,00:00:00,123648,483,Block,256,,,,,0,,,,,,,,00:00:00,4,,,,,,,4,4,,,256,00:00:00,256,00:00:00,,,,cpu=256;mem=0;node=4,,,,,,
1007,1007,5701,test_user8,testing,test_user8-rvBU,10,2025-08-01T19:04:51,2025-08-01T20:27:10,2025-08-01T20:33:32,COMPLETED,0:0,1,system_testing,86400,2025-08-01T19:04:51,,00:00:00,146688,382,,,,normal,0,/home/test_user8/stochsimsched,,,,,,,batch-cpu,None,00:00:00,3,,,0:0,,,3M,3,3,01:22:19,948288,384,00:00:00,192,00:00:00,,,billing=192;cpu=192;mem=3M;node=3,billing=384;cpu=384;node=3,,,SchedMain;StartReceived,,,
,,5701.batch,,testing,batch,,2025-08-01T20:27:10,2025-08-01T20:27:10,2025-08-01T20:33:32,COMPLETED,0:0,,,,2025-08-01T20:27:10,,00:00:00,24448,382,Unknown,1,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,64,00:00:00,64,00:00:00,,,,cpu=64;mem=0;node=1,,,,,,
,,5701.extern,,testing,extern,,2025-08-01T20:27:10,2025-08-01T20:27:10,2025-08-01T20:33:32,COMPLETED,0:0,,,,2025-08-01T20:27:10,,00:00:00,146688,382,Unknown,3,,,,,0,,,,,,,,00:00:00,3,,,,,,,3,3,,,384,00:00:00,384,00:00:00,,,,billing=384;cpu=384;node=3,,,,,,
,,5701.0,,testing,mpicatnap,,2025-08-01T20:27:11,2025-08-01T20:27:11,2025-08-01T20:33:32,COMPLETED,0:0,,,,2025-08-01T20:27:11,,00:00:00,73152,381,Block,192,,,,,0,,,,,,,,00:00:00,3,,,,,,,3,3,,,192,00:00:00,192,00:00:00,,,,cpu=192;mem=0;node=3,,,,,,
1002,1002,5702,test_user3,testing,test_user3-nkOS,6,2025-08-01T19:06:00,2025-08-01T20:27:10,2025-08-01T20:33:37,TIMEOUT,0:0,1,system_testing,86400,2025-08-01T19:06:00,,00:00:00,148608,387,,,,normal,0,/home/test_user3/stochsimsched,,,,,,,batch-cpu,None,00:00:00,3,,,0:15,,,3M,3,3,01:21:10,935040,384,00:00:00,192,00:00:00,,,billing=192;cpu=192;mem=3M;node=3,billing=384;cpu=384;node=3,,,SchedMain;StartReceived,,,
,,5702.extern,,testing,extern,,2025-08-01T20:27:10,2025-08-01T20:27:10,2025-08-01T20:33:39,COMPLETED,0:0,,,,2025-08-01T20:27:10,,00:00:00,149376,389,Unknown,3,,,,,0,,,,,,,,00:00:00,3,,,,,,,3,3,,,384,00:00:00,384,00:00:00,,,,billing=384;cpu=384;node=3,,,,,,
1005,1005,5703,test_user6,testing,test_user6-imch,8,2025-08-01T19:06:12,2025-08-01T19:06:16,2025-08-01T19:13:08,COMPLETED,0:0,1,system_testing,172800,2025-08-01T19:06:12,,00:00:00,316416,412,,,high,high,0,/home/test_user6/stochsimsched,,,,,,,batch-cpu,None,00:00:00,6,,,0:0,,,6M,6,6,00:00:04,1536,768,00:00:00,384,00:00:00,,,billing=384;cpu=384;mem=6M;node=6,billing=768;cpu=768;node=6,,,SchedMain;StartReceived,,,
,,5703.batch,,testing,batch,,2025-08-01T19:06:16,2025-08-01T19:06:16,2025-08-01T19:13:08,COMPLETED,0:0,,,,2025-08-01T19:06:16,,00:00:00,26368,412,Unknown,1,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,64,00:00:00,64,00:00:00,,,,cpu=64;mem=0;node=1,,,,,,
,,5703.extern,,testing,extern,,2025-08-01T19:06:16,2025-08-01T19:06:16,2025-08-01T19:13:08,COMPLETED,0:0,,,,2025-08-01T19:06:16,,00:00:00,316416,412,Unknown,6,,,,,0,,,,,,,,00:00:00,6,,,,,,,6,6,,,768,00:00:00,768,00:00:00,,,,billing=768;cpu=768;node=6,,,,,,
,,5703.0,,testing,mpicatnap,,2025-08-01T19:06:17,2025-08-01T19:06:17,2025-08-01T19:13:08,COMPLETED,0:0,,,,2025-08-01T19:06:17,,00:00:00,157824,411,Block,384,,,,,0,,,,,,,,00:00:00,6,,,,,,,6,6,,,384,00:00:00,384,00:00:00,,,,cpu=384;mem=0;node=6,,,,,,
1016,1016,5704,test_user17,testing,test_user17-QmTu,1,2025-08-01T19:06:14,2025-08-01T20:30:10,2025-08-01T20:31:37,TIMEOUT,0:0,1,system_testing,86400,2025-08-01T19:06:14,,00:00:00,77952,87,,,,normal,0,/home/test_user17/stochsimsched,,,,,,,batch-cpu,None,00:00:00,7,,,0:15,,,7M,7,7,01:23:56,2256128,896,00:00:00,448,00:00:00,,,billing=448;cpu=448;mem=7M;node=7,billing=896;cpu=896;node=7,,,SchedMain;StartReceived,,,
,,5704.extern,,testing,extern,,2025-08-01T20:30:10,2025-08-01T20:30:10,2025-08-01T20:31:40,COMPLETED,0:0,,,,2025-08-01T20:30:10,,00:00:00,80640,90,Unknown,7,,,,,0,,,,,,,,00:00:00,7,,,,,,,7,7,,,896,00:00:00,896,00:00:00,,,,billing=896;cpu=896;node=7,,,,,,
1012,1012,5683,test_user13,testing,test_user13-g19S,8,2025-08-01T19:06:16,2025-08-01T20:42:01,2025-08-01T20:44:55,COMPLETED,0:0,1,system_testing,86400,2025-08-01T19:08:17,,00:00:00,111360,174,,,,normal,1,/home/test_user13/stochsimsched,,,,,,,batch-cpu,BeginTime,00:00:00,5,,,0:15,,,5M,5,5,01:33:44,1799680,640,00:00:00,320,00:00:00,,,billing=320;cpu=320;mem=5M;node=5,billing=640;cpu=640;node=5,,,SchedMain;StartReceived,,,
,,5683.batch,,testing,batch,,2025-08-01T20:42:01,2025-08-01T20:42:01,2025-08-01T20:44:55,COMPLETED,0:0,,,,2025-08-01T20:42:01,,00:00:00,11136,174,Unknown,1,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,64,00:00:00,64,00:00:00,,,,cpu=64;mem=0;node=1,,,,,,
,,5683.extern,,testing,extern,,2025-08-01T20:42:01,2025-08-01T20:42:01,2025-08-01T20:44:55,COMPLETED,0:0,,,,2025-08-01T20:42:01,,00:00:00,111360,174,Unknown,5,,,,,0,,,,,,,,00:00:00,5,,,,,,,5,5,,,640,00:00:00,640,00:00:00,,,,billing=640;cpu=640;node=5,,,,,,
,,5683.0,,testing,mpicatnap,,2025-08-01T20:42:01,2025-08-01T20:42:01,2025-08-01T20:44:55,COMPLETED,0:0,,,,2025-08-01T20:42:01,,00:00:00,55680,174,Block,320,,,,,0,,,,,,,,00:00:00,5,,,,,,,5,5,,,320,00:00:00,320,00:00:00,,,,cpu=320;mem=0;node=5,,,,,,
